Time,v_out
1.0,0.012692239300271742
2.0,0.01304785284007177
3.0,0.013154170712422133
4.0,0.013157737548044949
5.0,0.013170915577463435
6.0,0.013027048029237763
7.0,0.01310935996988769
8.0,0.013017286349678208
9.0,0.013175637931692541
10.0,0.013084469934443238
11.0,0.013206205316720154
12.0,0.013141124761167012
13.0,0.013102174431728062
14.0,0.013119482458092283
15.0,0.01310819354316169
16.0,0.013133051982222536
17.0,0.013138050893855778
18.0,0.013113310947352139
19.0,0.013064591541286443
20.0,0.013092692584907504
21.0,0.013087664774574681
22.0,0.013040853218511074
23.0,0.013088952104736262
24.0,0.01308555729357822
25.0,0.01305495463953383
26.0,0.013101171245895079
27.0,0.013136902706971564
28.0,0.013094308853118642
29.0,0.013059566679087661
30.0,0.013052204072057882
31.0,0.013061030108873101
32.0,0.01304325196574098
33.0,0.013038164835348979
34.0,0.013037574013794654
35.0,0.013042406854734907
36.0,0.013063941557451693
37.0,0.013009695998759207
38.0,0.013037576123372635
39.0,0.013095674169706585
40.0,0.013030342962642546
41.0,0.01307335950387683
42.0,0.013071104526833776
43.0,0.01306980742294371
44.0,0.01310658768882356
45.0,0.013122277609234347
46.0,0.013084143519665652
47.0,0.013047173103773792
48.0,0.013037118790960955
49.0,0.012934220632198505
50.0,0.013190070670039952
51.0,0.013043486187826248
52.0,0.012987127501368757
53.0,0.013218375109246956
54.0,0.012883895622007072
55.0,0.013040550517595093
56.0,0.013184619850827797
57.0,0.0129157876951182
58.0,0.012943713807723706
59.0,0.013135419329341801
60.0,0.012961928675556315
61.0,0.0130106380904725
62.0,0.013076928989897572
63.0,0.013007021886732945
64.0,0.012949721667678738
65.0,0.013022392303978529
66.0,0.013040578847910966
67.0,0.013040791203619288
68.0,0.013031727677700595
69.0,0.013024561691275074
70.0,0.012941600261037096
71.0,0.013027075412405876
72.0,0.013024678737685447
73.0,0.013007315287494322
74.0,0.013008754422915905
75.0,0.012997894430954123
76.0,0.01300877733386424
77.0,0.013006581208296477
78.0,0.01300078199529857
79.0,0.013011312816582181
80.0,0.013004608754310275
81.0,0.013009276616177411
82.0,0.013006422710508449
83.0,0.013005959530540501
84.0,0.013005687610738692
85.0,0.01299762036070393
86.0,0.013002921239249284
87.0,0.012997682461613654
88.0,0.013004630956442309
89.0,0.01300079778576777
90.0,0.013004820209206463
91.0,0.012999675167358376
92.0,0.01300201893867245
93.0,0.01299883261811849
94.0,0.013003517392252263
95.0,0.013005432287883627
96.0,0.01298869353985809
97.0,0.01300738799712431
98.0,0.013002979238861873
99.0,0.012998695357730955
100.0,0.013006037072620073
101.0,0.013002925227202342
102.0,0.013002563269908965
103.0,0.012998868572427323
104.0,0.012999851452799985
105.0,0.013007068386793117
106.0,0.013003113295200128
107.0,0.013001088065884
108.0,0.012989010281895096
109.0,0.012989798106857253
110.0,0.013002159520492853
111.0,0.013002496251957436
112.0,0.013007961041955512
113.0,0.013008782329082567
114.0,0.012977543268968172
115.0,0.013001985467478043
116.0,0.012999455811405932
117.0,0.012999360528721264
118.0,0.013005184069587252
119.0,0.013001982464691725
120.0,0.012993021653692443
121.0,0.012996068298465741
122.0,0.013003489883859146
123.0,0.013003772383154135
124.0,0.013001426913817506
125.0,0.013001802335293933
126.0,0.012998173216745543
127.0,0.012996678917451812
128.0,0.012995296850415504
129.0,0.01300140109750648
130.0,0.013001875918409914
131.0,0.013000888998520959
132.0,0.01298659170064018
133.0,0.013001378794861775
134.0,0.013001745855252326
135.0,0.013013601400262243
136.0,0.013000058199283503
137.0,0.01300150889770167
138.0,0.012994063421896039
139.0,0.01299154310043323
140.0,0.013006951321373255
141.0,0.013000445798713466
142.0,0.013002256345322268
143.0,0.012996057520561027
144.0,0.01297718249002546
145.0,0.012987237023585983
146.0,0.013006790481616248
147.0,0.013006904595100172
150.0,0.012985380613022018
160.0,0.013009621928287465
170.0,0.012996610698100614
180.0,0.012998815898798161
190.0,0.012991641638730412
200.0,0.01299980872089566
210.0,0.012980487080487992
220.0,0.013014838274489106
230.0,0.012987105445847401
240.0,0.013001112883246407
250.0,0.012990458890695248
260.0,0.012999961224991982
270.0,0.012983972983926591
280.0,0.013001175326089302
290.0,0.012982759018034258
300.0,0.012990630714609916
310.0,0.013008110909911023
320.0,0.012979687776408616
330.0,0.012993087365216876
340.0,0.012979280183749177
350.0,0.012977471195205571
360.0,0.01296135343964395
370.0,0.012980451109070618
380.0,0.012959687279604665
390.0,0.012977724582657094
400.0,0.01294912746386118
410.0,0.012988811395835052
420.0,0.012946976251061303
430.0,0.0129644402010912
440.0,0.01294920101513627
450.0,0.012939328609583632
460.0,0.012925991137605541
470.0,0.01294144203365904
480.0,0.012923716388318317
490.0,0.012953850104420708
500.0,0.012946874734927756
510.0,0.012957106307180867
520.0,0.012948510206524128
530.0,0.012940958030697449
540.0,0.012936378690315173
550.0,0.012929927256303346
560.0,0.01293598915999642
570.0,0.012928664788889327
580.0,0.012930721601995276
590.0,0.0129364219497328
600.0,0.012945742676881635
610.0,0.012939714425685962
620.0,0.012982143064985728
630.0,0.012921432798668486
640.0,0.012908803337463874
650.0,0.012919451016488682
660.0,0.012924813553022677
670.0,0.01290219515833885
680.0,0.012906861389429498
690.0,0.01290698347335431
700.0,0.012906111235332982
710.0,0.012894911625315792
720.0,0.012912995266372502
730.0,0.012902780901983574
740.0,0.012907665461088576
750.0,0.012897733471007249
760.0,0.012909877111705555
770.0,0.012887134450332407
780.0,0.012907894811754809
790.0,0.012904479571574768
800.0,0.012894444481869506
810.0,0.01289491306908644
820.0,0.012881469964707697
830.0,0.012892056378289801
840.0,0.012865769566504497
850.0,0.01289928750144035
860.0,0.012877939337883242
870.0,0.012877574127591156
880.0,0.01289345382994273
890.0,0.012849787014266142
900.0,0.012884814844355287
910.0,0.012876342163752778
920.0,0.012885069234557324
930.0,0.012876447627681838
940.0,0.01287885132759634
950.0,0.012870253460720505
960.0,0.012859606612647961
970.0,0.012869532541791512
980.0,0.012853777415746304
990.0,0.012865897681664755
1000.0,0.012852183280995425
1010.0,0.012852372596966127
1020.0,0.012853647915031956
1030.0,0.01283209980112107
1040.0,0.01286756802236579
1050.0,0.012834559913831114
1060.0,0.01285296557277073
1070.0,0.012839366049766756
1080.0,0.01281572729275142
1090.0,0.012851638690517008
1100.0,0.012828215901963274
1110.0,0.012850206096973257
1120.0,0.012831621087787256
1130.0,0.012814751061184964
1140.0,0.012835464860053504
1150.0,0.012804133471328947
1160.0,0.01284834645741006
1170.0,0.012810741037635586
1180.0,0.012817062418945046
1190.0,0.01281875926837772
1200.0,0.012801443579051087
1210.0,0.012815842548943218
1220.0,0.012804167848563097
1230.0,0.012822180372509711
1240.0,0.012801736691581096
1250.0,0.012803282355225471
1260.0,0.012807540544795134
1270.0,0.012789092011855267
1280.0,0.012810787968498289
1290.0,0.012785402855164272
1300.0,0.012799825374248312
1310.0,0.012788007784771127
1320.0,0.012777615887680529
1330.0,0.01280512644954187
1340.0,0.012766310466811115
1350.0,0.012797725099273682
1360.0,0.012766309566474218
1370.0,0.012781270975803944
1380.0,0.012786942678618561
1390.0,0.0127649075900878
1400.0,0.0127830237711116
1410.0,0.01275218901739133
1420.0,0.012786586200334992
1430.0,0.012758974080043992
1440.0,0.012762701685801561
1450.0,0.012760307921196196
1460.0,0.01274876151228934
1470.0,0.01277589342248693
1480.0,0.012742228193005068
1490.0,0.012769493243758808
1500.0,0.012753101239733042
1510.0,0.012761417213716571
1520.0,0.012754063302814901
1560.0,0.012759642563200044
1620.0,0.012727827955180055
